бермудские острова	l21546
мокшан	c11103
сюзюм	c57737
вертуновка	c69525
евлашево	c23882
ломовка	c39347
городище	c20056
спасск	c20055
башмаково	c22692
беково	c22693
подгорное	c57423
исса	c22696
верхний ломов	c39349
вадинск	c22694
земетчино	c22695
пичилейка	c69548
лермонтово	c39346
кондоль	c22697
белинский	c11096
казанская арчада	c57714
вязовка	c57616
индерка	c57617
вирга	c57597
никольск	c11105
константиновка	c57753
чаадаевка	c24316
сурск	c24528
павло-куракино	c66664
бекетовка	c57505
студенец	c69557
чемодановка	c24321
наровчат	c22700
неверкино	c22701
пачелма	c22702
русский камешкир	c22703
сосновоборск	c22704
тамала	c22705
махалино	c57733
ночка	c24089
телегино	c57533
архангельское	c57471
уварово	c57511
калдуссы	c69527
ивановка	c57431
дубровки	c57515
мошки	c57434
нижняя елюзань	c57479
кижеватово	c57465
маркино	c57619
шемышейка	c11107
пенза	c49
малая сердоба	c22699
лопатино	c22698
русский ишим	c57481
тешнярь	c57627
покровская арчада	c57724
трескино	c57484
республика адыгея	r11004
хакуринохабль	c26645
майкоп	c1093
энем	c42122
адыгейск	c11005
псекупс	c84706
каменномостский	c21428
тахтамукай	c21731
понежукай	c26264
тульский	c26263
красногвардейское	c26262
кошехабль	c26261
гиагинская	c26260
забайкальский край	r21632
орловский	c40175
акурай	c62221
усть-озерная	c62227
калангуй	c62300
ононск	c62302
степь	c62303
турга	c62304
улятуй	c62305
холбон	c62389
ковыли	c62258
новодоронинск	c62252
тыргетуй	c62253
новокручининский	c41593
менза	c62399
тунгокочен	c26918
ленинский	c62369
горный	c26988
аксеново-зиловское	c22958
улача	c62412
шилка	c11371
могойтуй	c22957
усугли	c41488
усть-каренга	c41489
красный яр	c41487
бальзино	c62471
агинское	c11233
акша	c22964
верх-усугли	c22965
калга	c22966
цокто-хангил	c62404
букачача	c22960
балей	c22961
ясногорск	c22963
нерчинский завод	c22968
новокургатай	c62408
харагун	c62348
кокуй	c42230
могзон	c62347
урульга	c42211
иля	c62473
шелопугино	c22971
вершино-дарасунский	c26695
борзя	c11355
карымское	c11357
забайкальск	c11356
кыра	c11359
краснокаменск	c11358
новоорловск	c42228
красный чикой	c22967
жирекен	c42220
первомайский	c42227
татаурово	c62460
чара	c22196
ушарбай	c62468
единение	c62298
юмурчен	c41490
приисковый	c62292
бурулятуй	c62296
долгокыча	c62297
безречная	c62294
хилок	c11368
чернышевск	c11369
петровск-забайкальский	c11364
приаргунск	c11365
сретенск	c11366
улеты	c11367
могоча	c11360
нерчинск	c11361
новая чара	c11362
оловянная	c11363
дровяная	c43821
нуринск	c43822
бырка	c62326
дарасун	c26535
куанда	c26438
пески	c62321
даурия	c42209
шерловая гора	c42208
икабья	c62237
нижний цасучей	c26312
газимурский завод	c26311
александровский завод	c26310
курорт дарасун	c69996
чита	c68
верхний шаранай	c69999
дульдурга	c39501
молдова	r21630
новосибирская область	r11316
мамоново	c61605
озеро-карачи	c69953
биаза	c61626
маршанское	c67040
маюрово	c61503
веселовское	c67184
нижнечеремошное	c67187
новокрасное	c69955
горный	c72886
верх-каргат	c61422
егорьевское	c67209
сапожковский	c69925
первотроицк	c67042
маслянино	c22569
польяново	c61540
чистоозерное	c22575
чаны	c22574
венгерово	c22559
убинское	c22572
северное	c22571
ордынское	c22570
чебаки	c61631
ильинка	c67015
большие кулики	c61627
елизаветинка	c67139
коб-кордон	c69984
новопесчаное	c69956
рождественский	c69961
баган	c22558
верх-красноярка	c61628
каргаполово	c61501
хорошее	c67158
толмачёво	c39538
студеное	c67156
барабинск	c20098
болотное	c20099
янченково	c67110
бергуль	c67218
ишимская	c69954
варваровка	c67138
останинка	c67219
